mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3/8	2/4	2	1	g.V{	g	i		V		V						{	M	1	1	1, 5, 2		1	1
2	1	0	0	2/4	2	1	i6	g	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
2	1	1/4	1/4	2/4	2	1	#viio6	g	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
2	1	3/8	3/8	2/4	2	1	i	g	i		i		i							m	1	1	0, -3, 1		0	0
3	2	0	0	2/4	2	1	V65	g	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
4	3	0	0	2/4	2	1	i	g	i		i		i							m	1	1	0, -3, 1		0	0
4	3	1/8	1/8	2/4	2	1	i6	g	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
4	3	1/4	1/4	2/4	2	1	#viio6	g	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
4	3	3/8	3/8	2/4	2	1	i	g	i		i		i							m	1	1	0, -3, 1		0	0
5	4	0	0	2/4	2	1	iv	g	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
6	5	0	0	2/4	2	1	i6	g	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
7	6	0	0	2/4	2	1	V65	g	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
8	7	0	0	2/4	2	1	i	g	i		i		i							m	1	1	0, -3, 1		0	0
8	7	1/4	1/4	2/4	2	1	iio6	g	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
9	8	0	0	2/4	2	1	V(64)	g	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
9	8	1/4	1/4	2/4	2	1	V}	g	i		V		V						}	M	1	1	1, 5, 2		1	1
9	8	3/8	3/8	2/4	2	1	{	g	i										{		1	1				
10	9	0	0	2/4	2	1	i6	g	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
10	9	1/4	1/4	2/4	2	1	#viio6	g	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
10	9	3/8	3/8	2/4	2	1	i	g	i		i		i							m	1	1	0, -3, 1		0	0
11	10	0	0	2/4	2	1	V65	g	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
12	11	0	0	2/4	2	1	i	g	i		i		i							m	1	1	0, -3, 1		0	0
12	11	1/8	1/8	2/4	2	1	i6	g	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
12	11	1/4	1/4	2/4	2	1	#viio6	g	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
12	11	3/8	3/8	2/4	2	1	i	g	i		i		i							m	1	1	0, -3, 1		0	0
13	12	0	0	2/4	2	1	iv	g	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
13	12	3/8	3/8	2/4	2	1	III.viio6	g	III		viio6		vii	o	6					o	1	0	2, -1, 5		5	2
14	13	0	0	2/4	2	1	I6	g	III		I6		I		6					M	1	0	4, 1, 0		0	4
15	14	0	0	2/4	2	1	ii6(2)	g	III		ii6(2)		ii		6	2				m	1	0	-1, 3, 4		2	-1
15	14	1/8	1/8	2/4	2	1	ii6	g	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
15	14	1/4	1/4	2/4	2	1	V6/V	g	III		V6/V		V		6		V			M	1	0	6, 3, 2		2	6
15	14	3/8	3/8	2/4	2	1	V65/V	g	III		V65/V		V		65		V			Mm7	1	0	6, 3, 0, 2		2	6
16	15	0	0	2/4	2	1	V}	g	III		V		V						}	M	1	0	1, 5, 2		1	1
17	16	0	0	2/4	2	1	V65{	g	III		V65		V		65				{	Mm7	1	0	5, 2, -1, 1		1	5
18	17	0	0	2/4	2	1	I	g	III		I		I							M	1	0	0, 4, 1		0	0
19	18	0	0	2/4	2	1	V65	g	III		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
20	19	0	0	2/4	2	1	I	g	III		I		I							M	1	0	0, 4, 1		0	0
21	20	0	0	2/4	2	1	V65	g	III		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
22	21	0	0	2/4	2	1	I	g	III		I		I							M	1	0	0, 4, 1		0	0
22	21	1/4	1/4	2/4	2	1	V2/IV	g	III		V2/IV		V		2		IV			Mm7	1	0	-2, 0, 4, 1		0	-2
23	22	0	0	2/4	2	1	IV6	g	III		IV6		IV		6					M	1	0	3, 0, -1		-1	3
23	22	1/4	1/4	2/4	2	1	IV	g	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
24	23	0	0	2/4	2	1	V(64)	g	III		V(64)		V			64				M	1	0	1, 0, 4		1	1
24	23	1/4	1/4	2/4	2	1	V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
25	24	0	0	2/4	2	1	I	g	III		I		I							M	1	0	0, 4, 1		0	0
26	25	1/4	1/4	2/4	2	1	V2/IV	g	III		V2/IV		V		2		IV			Mm7	1	0	-2, 0, 4, 1		0	-2
27	26	0	0	2/4	2	1	IV6	g	III		IV6		IV		6					M	1	0	3, 0, -1		-1	3
27	26	1/4	1/4	2/4	2	1	IV	g	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
28	27	0	0	2/4	2	1	I6	g	III		I6		I		6					M	1	0	4, 1, 0		0	4
28	27	1/4	1/4	2/4	2	1	ii6	g	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
29	28	0	0	2/4	2	1	V(64)	g	III		V(64)		V			64				M	1	0	1, 0, 4		1	1
29	28	1/4	1/4	2/4	2	1	V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
30	29	0	0	2/4	2	1	I}	g	III		I		I						}	M	1	0	0, 4, 1		0	0
31	30	0	0	2/4	2	1	V43	g	III		V43		V		43					Mm7	1	0	2, -1, 1, 5		1	2
31	30	1/4	1/4	2/4	2	1	V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
32	31	0	0	2/4	2	1	I	g	III		I		I							M	1	0	0, 4, 1		0	0
33	32	0	0	2/4	2	1	V43	g	III		V43		V		43					Mm7	1	0	2, -1, 1, 5		1	2
33	32	1/4	1/4	2/4	2	1	V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
34	33	0	0	2/4	2	1	I(974)	g	III		I(974)		I			974				M	1	0	0, -1, 1	2, 5	0	0
34	33	1/4	1/4	2/4	2	1	I	g	III		I		I							M	1	0	0, 4, 1		0	0
35	33	0	3/8	2/4	2	1	{	g	III										{		1	0				
37	35	0	0	2/4	2	1	IV.V2	g	IV		V2		V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
38	36	0	0	2/4	2	1	I6	g	IV		I6		I		6					M	1	0	4, 1, 0		0	4
39	37	0	0	2/4	2	1	ii6	g	IV		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
39	37	1/4	1/4	2/4	2	1	V7	g	IV		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
40	38	0	0	2/4	2	1	I}{	g	IV		I		I						}{	M	1	0	0, 4, 1		0	0
41	39	0	0	2/4	2	1	viio6	g	IV		viio6		vii	o	6					o	1	0	2, -1, 5		5	2
42	40	0	0	2/4	2	1	I6	g	IV		I6		I		6					M	1	0	4, 1, 0		0	4
43	41	0	0	2/4	2	1	IV	g	IV		IV		IV							M	1	0	-1, 3, 0		-1	-1
43	41	1/4	1/4	2/4	2	1	V	g	IV		V		V							M	1	0	1, 5, 2		1	1
44	42	0	0	2/4	2	1	I(4)	g	IV		I(4)		I			4				M	1	0	0, -1, 1		0	0
44	42	1/8	1/8	2/4	2	1	I	g	IV		I		I							M	1	0	0, 4, 1		0	0
45	43	0	0	2/4	2	1	viio6	g	IV		viio6		vii	o	6					o	1	0	2, -1, 5		5	2
46	44	0	0	2/4	2	1	I6	g	IV		I6		I		6					M	1	0	4, 1, 0		0	4
47	45	0	0	2/4	2	1	IV	g	IV		IV		IV							M	1	0	-1, 3, 0		-1	-1
47	45	1/4	1/4	2/4	2	1	V7	g	IV		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
48	46	0	0	2/4	2	1	I	g	IV		I		I							M	1	0	0, 4, 1		0	0
49	47	0	0	2/4	2	1	V43	g	IV		V43		V		43					Mm7	1	0	2, -1, 1, 5		1	2
49	47	1/4	1/4	2/4	2	1	V7	g	IV		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
50	48	0	0	2/4	2	1	I	g	IV		I		I							M	1	0	0, 4, 1		0	0
51	49	0	0	2/4	2	1	i.V43/iv	g	i		V43/iv		V		43		iv			Mm7	1	1	1, -2, 0, 4		0	1
51	49	1/4	1/4	2/4	2	1	V7/iv	g	i		V7/iv		V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
52	50	0	0	2/4	2	1	iv	g	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
53	51	0	0	2/4	2	1	V65	g	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
54	52	0	0	2/4	2	1	i	g	i		i		i							m	1	1	0, -3, 1		0	0
54	52	1/4	1/4	2/4	2	1	V6	g	i		V6		V		6					M	1	1	5, 2, 1		1	5
55	53	0	0	2/4	2	1	i(4)	g	i		i(4)		i			4				m	1	1	0, -1, 1		0	0
55	53	1/8	1/8	2/4	2	1	i	g	i		i		i							m	1	1	0, -3, 1		0	0
