mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	6/8	2	1	Eb.V7{	Eb	I		V7	V		7				{	Mm7	0	0	1, 5, 2, -1		1	1
1	1	3/8	3/8	6/8	2	1	viio	Eb	I		viio	vii	o						o	0	0	5, 2, -1		5	5
2	2	0	0	6/8	2	1	V43	Eb	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
2	2	3/8	3/8	6/8	2	1	V7	Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	3	0	0	6/8	2	1	viio	Eb	I		viio	vii	o						o	0	0	5, 2, -1		5	5
3	3	3/8	3/8	6/8	2	1	V43	Eb	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	4	0	0	6/8	2	1	V65	Eb	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
4	4	3/8	3/8	6/8	2	1	V43	Eb	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
5	5	0	0	6/8	2	1	viio6	Eb	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
5	5	3/8	3/8	6/8	2	1	V6	Eb	I		V6	V		6					M	0	0	5, 2, 1		1	5
6	6	0	0	6/8	2	1	viio6	Eb	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
6	6	3/8	3/8	6/8	2	1	V6	Eb	I		V6	V		6					M	0	0	5, 2, 1		1	5
7	7	0	0	6/8	2	1	viio6	Eb	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
7	7	3/8	3/8	6/8	2	1	V6	Eb	I		V6	V		6					M	0	0	5, 2, 1		1	5
8	8	0	0	6/8	2	1	viio6	Eb	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
8	8	3/8	3/8	6/8	2	1	V6	Eb	I		V6	V		6					M	0	0	5, 2, 1		1	5
9	9	0	0	6/8	2	1	V7	Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	9	3/8	3/8	6/8	2	1	V6	Eb	I		V6	V		6					M	0	0	5, 2, 1		1	5
10	10	0	0	6/8	2	1	V65	Eb	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
10	10	3/8	3/8	6/8	2	1	V2	Eb	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
11	11	0	0	6/8	2	1	I}{	Eb	I		I	I						}{	M	0	0	0, 4, 1		0	0
