mc	mn	onset	label	alt_label	volta	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.Eb.I			Eb	I		I	I							M	0	0	0, 4, 1		0	0
1	1	1/4	V			Eb	I		V	V							M	0	0	1, 5, 2		1	1
2	2	0	vi			Eb	I		vi	vi							m	0	0	3, 0, 4		3	3
2	2	3/8	IV6			Eb	I		IV6	IV			6				M	0	0	3, 0, -1		-1	3
3	3	0	#viio64/ii			Eb	I		#viio64/ii	#vii		o	64		ii		o	0	0	1, 7, 4		7	1
3	3	1/8	#viio43/ii			Eb	I		#viio43/ii	#vii		o	43		ii		o7	0	0	1, -2, 7, 4		7	1
3	3	1/4	IV6/vi			Eb	I		IV6/vi	IV			6		vi		M	0	0	6, 3, 2		2	6
3	3	3/8	.Fr6/vi			Eb	I		Fr6/vi	V	Fr		7	b5	V/vi		M	0	0	5, 9, -1, 3		5	5
4	4	0	iii[V(64)/vi			Eb	I	iii	V(64)/vi	V				64	vi		M	0	0	4, 3, 0		4	4
4	4	1/8	#viio65/iii			Eb	I	iii	#viio65/iii	#vii		o	65		iii		o7	0	0	6, 3, 0, 9		9	6
4	4	1/4	V/vi\\			Eb	I	iii	V/vi	V					vi	\\	M	0	0	4, 8, 5		4	4
4	4	3/8	V(64)/vi			Eb	I	iii	V(64)/vi	V				64	vi		M	0	0	4, 3, 0		4	4
5	5	1/8	#viio65/iii			Eb	I	iii	#viio65/iii	#vii		o	65		iii		o7	0	0	6, 3, 0, 9		9	6
5	5	1/4	V/vi			Eb	I	iii	V/vi	V					vi		M	0	0	4, 8, 5		4	4
5	5	3/8	iii]			Eb	I	iii	iii	iii							m	0	0	4, 1, 5		4	4
6	6	0	V43			Eb	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1	2
6	6	1/8	I			Eb	I		I	I							M	0	0	0, 4, 1		0	0
6	6	1/4	V6			Eb	I		V6	V			6				M	0	0	5, 2, 1		1	5
6	6	3/8	V7			Eb	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
7	7	0	#viio43/ii			Eb	I		#viio43/ii	#vii		o	43		ii		o7	0	0	1, -2, 7, 4		7	1
7	7	1/4	V7			Eb	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
8	8	0	.bVI			Eb	I		bVI	bVI							M	0	0	-4, 0, -3		-4	-4
9	9	0	V43(4)/bVI			Eb	I		V43(4)/bVI	V			43	4	bVI		Mm7	0	0	-2, -5, -3, -4		-3	-2
9	9	1/8	V43/bVI			Eb	I		V43/bVI	V			43		bVI		Mm7	0	0	-2, -5, -3, 1		-3	-2
9	9	1/4	.bVI			Eb	I		bVI	bVI							M	0	0	-4, 0, -3		-4	-4
9	9	3/8	i64			Eb	I		i64	i			64				m	0	0	1, 0, -3		0	1
10	10	0	viio7/V			Eb	I		viio7/V	vii		o	7		V		o7	0	0	6, 3, 0, -3		6	6
10	10	1/8	V65(b9)/V			Eb	I		V65(b9)/V	V			65	b9	V		Mm7	0	0	6, 3, 0, 2	-3	2	6
10	10	1/4	V\\			Eb	I		V	V						\\	M	0	0	1, 5, 2		1	1
10	10	3/8	ii%2/iv			Eb	I		ii%2/iv	ii		%	2		iv		%7	0	0	-1, 1, 0, 7		1	-1
11	11	0	#viio7/iv			Eb	I		#viio7/iv	#vii		o	7		iv		o7	0	0	4, 1, -2, -5		4	4
11	11	1/8	V65(b9)/iv			Eb	I		V65(b9)/iv	V			65	b9	iv		Mm7	0	0	4, 1, -2, 0	-12	0	4
11	11	1/4	iv			Eb	I		iv	iv							m	0	0	-1, -4, 0		-1	-1
11	11	3/8	i6			Eb	I		i6	i			6				m	0	0	-3, 1, 0		0	-3
12	12	0	V43\\			Eb	I		V43	V			43			\\	Mm7	0	0	2, -1, 1, 5		1	2
12	12	3/8	i			Eb	I		i	i							m	0	0	0, -3, 1		0	0
13	13	0	V6			Eb	I		V6	V			6				M	0	0	5, 2, 1		1	5
13	13	5/16	V43			Eb	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1	2
13	13	3/8	i			Eb	I		i	i							m	0	0	0, -3, 1		0	0
14	14	0	V6			Eb	I		V6	V			6				M	0	0	5, 2, 1		1	5
14	14	3/8	V2/iv			Eb	I		V2/iv	V			2		iv		Mm7	0	0	-2, 0, 4, 1		0	-2
14	14	7/16	iv6			Eb	I		iv6	iv			6				m	0	0	-4, 0, -1		-1	-4
15	15	5/16	V6			Eb	I		V6	V			6				M	0	0	5, 2, 1		1	5
15	15	3/8	V2/IV			Eb	I		V2/IV	V			2		IV		Mm7	0	0	-2, 0, 4, 1		0	-2
15	15	7/16	IV6\\			Eb	I		IV6	IV			6			\\	M	0	0	3, 0, -1		-1	3
17	17	3/4	III6			Eb	I		III6	III			6				M	0	0	8, 5, 4		4	8
17	17	7/8	iiio6			Eb	I		iiio6	iii		o	6				o	0	0	1, -2, 4		4	1
18	18	1/4	II6			Eb	I		II6	II			6				M	0	0	6, 3, 2		2	6
18	18	3/8	iio6			Eb	I		iio6	ii		o	6				o	0	0	-1, -4, 2		2	-1
18	18	3/4	I6			Eb	I		I6	I			6				M	0	0	4, 1, 0		0	4
18	18	7/8	#viio7/iii			Eb	I		#viio7/iii	#vii		o	7		iii		o7	0	0	9, 6, 3, 0		9	9
19	19	0	V43(4)			Eb	I		V43(4)	V			43	4			Mm7	0	0	2, -1, 1, 0		1	2
