mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3/8	9/16	2	1		C.I{		C	I		I		I						{	M	0	0	0, 4, 1		0	0
2	1	3/16	3/16	9/16	2	1		V43		C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
2	1	3/8	3/8	9/16	2	1		V6		C	I		V6		V		6					M	0	0	5, 2, 1		1	5
3	2	3/16	3/16	9/16	2	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
3	2	3/8	3/8	9/16	2	1		V43		C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	3	0	0	9/16	2	1		I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
4	3	3/16	3/16	9/16	2	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
4	3	3/8	3/8	9/16	2	1		I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
5	4	0	0	9/16	2	1		V(64)		C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
5	4	3/16	3/16	9/16	2	1		V		C	I		V		V							M	0	0	1, 5, 2		1	1
5	4	1/2	1/2	9/16	2	1		V2		C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
6	5	0	0	9/16	2	1		I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	6	0	0	9/16	2	1		ii(4)		C	I		ii(4)		ii			4				m	0	0	2, 1, 3		2	2
7	6	3/16	3/16	9/16	2	1		ii		C	I		ii		ii							m	0	0	2, -1, 3		2	2
7	6	3/8	3/8	9/16	2	1		ii6		C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
7	6	1/2	1/2	9/16	2	1		V65/V		C	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
8	7	0	0	9/16	2	1		V[V		C	I	V	V		V							M	0	0	1, 5, 2		1	1
8	7	3/16	3/16	9/16	2	1		vi7		C	I	V	vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
8	7	3/8	3/8	9/16	2	1		V6]		C	I	V	V6		V		6					M	0	0	5, 2, 1		1	5
9	8	0	0	9/16	2	1	1	V6|HC}		C	I		V6		V		6			HC	}	M	0	0	5, 2, 1		1	5
9	8	3/16	3/16	9/16	2	1	1	I		C	I		I		I							M	0	0	0, 4, 1		0	0
9	8	5/16	5/16	9/16	2	1	1	V43		C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
10	8	1/8	1/8	9/16	2	1	2	I		C	I		I		I							M	0	0	0, 4, 1		0	0
10	8	3/16	3/16	9/16	2	1	2	V43		C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
