mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.Bb.I{	Bb	I		I	I					{	M	0	0	0, 4, 1		0	0
3	3	0	V43	Bb	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
4	4	1/2	V65	Bb	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
5	5	0	I	Bb	I		I	I						M	0	0	0, 4, 1		0	0
6	6	1/2	#viio65/ii	Bb	I		#viio65/ii	#vii	o	65		ii		o7	0	0	4, 1, -2, 7		7	4
7	7	0	ii6(11#7)	Bb	I		ii6(11#7)	ii		6	11#7			m	0	0	-1, 3, 7	1	2	-1
7	7	1/4	ii6	Bb	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
7	7	3/8	V(64)	Bb	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
7	7	1/2	ii43	Bb	I		ii43	ii		43				mm7	0	0	3, 0, 2, -1		2	3
7	7	5/8	V43/V	Bb	I		V43/V	V		43		V		Mm7	0	0	3, 0, 2, 6		2	3
8	8	0	V(#74)}	Bb	I		V(#74)	V			#74		}	M	0	0	1, 0, 2	6	1	1
8	8	1/4	V	Bb	I		V	V						M	0	0	1, 5, 2		1	1
8	8	5/8	IV	Bb	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
8	8	11/16	viio6	Bb	I		viio6	vii	o	6				o	0	0	2, -1, 5		5	2
9	9	0	I{	Bb	I		I	I					{	M	0	0	0, 4, 1		0	0
11	11	0	V7	Bb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
11	11	1/4	V7(b9)	Bb	I		V7(b9)	V		7	b9			Mm7	0	0	1, 5, 2, -1	-4	1	1
12	12	1/2	ii%2	Bb	I		ii%2	ii	%	2				%7	0	0	0, 2, 1, 8		2	0
13	13	0	V65	Bb	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
13	13	1/4	V43	Bb	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
14	14	0	V7	Bb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
14	14	1/2	#viio7/vi	Bb	I		#viio7/vi	#vii	o	7		vi		o7	0	0	8, 5, 2, -1		8	8
15	15	0	vi	Bb	I		vi	vi						m	0	0	3, 0, 4		3	3
15	15	1/2	viio7/V	Bb	I		viio7/V	vii	o	7		V		o7	0	0	6, 3, 0, -3		6	6
16	16	0	V(64)	Bb	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
16	16	1/2	V7	Bb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
17	17	0	I[I}{	Bb	I	I	I	I					}{	M	0	0	0, 4, 1		0	0
18	18	0	IV6	Bb	I	I	IV6	IV		6				M	0	0	3, 0, -1		-1	3
18	18	1/4	I	Bb	I	I	I	I						M	0	0	0, 4, 1		0	0
18	18	1/2	I(#4#2)	Bb	I	I	I(#4#2)	I			#4#2			M	0	0	0, 9, 6		0	0
19	19	1/4	I	Bb	I	I	I	I						M	0	0	0, 4, 1		0	0
20	20	0	ii6	Bb	I	I	ii6	ii		6				m	0	0	-1, 3, 2		2	-1
20	20	1/2	viio43	Bb	I	I	viio43	vii	o	43				o7	0	0	-1, -4, 5, 2		5	-1
21	21	1/4	I}	Bb	I	I	I	I					}	M	0	0	0, 4, 1		0	0
22	22	1/4	V.ii6	Bb	V	IV	ii6	ii		6				m	0	0	-1, 3, 2		2	-1
22	22	1/2	vi64]	Bb	V	IV	vi64	vi		64				m	0	0	4, 3, 0		3	4
23	23	0	V[V{	Bb	V	V	V	V					{	M	0	0	1, 5, 2		1	1
