mc	mn	onset	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	staff	voice	volta
1	1	0	1/4		1/4	1		-4	44	2	1	
1	1	0	1/16		1/16	1		-4	56	1	2	
1	1	0	1/4		1/4	1		0	60	1	1	
1	1	1/16	1/16		1/16	1		-3	51	1	2	
1	1	1/8	1/16		1/16	1		-4	56	1	2	
1	1	3/16	1/16		1/16	1		-3	51	1	2	
1	1	1/4	1/4		1/4	1		-5	49	2	1	
1	1	1/4	1/16		1/16	1		1	55	1	2	
1	1	1/4	1/4		1/4	1		-2	58	1	1	
1	1	5/16	1/16		1/16	1		-3	51	1	2	
1	1	3/8	1/16		1/16	1		1	55	1	2	
1	1	7/16	1/16		1/16	1		-3	51	1	2	
2	2	0	1/4		1/4	1		0	48	2	1	
2	2	0	1/16		1/16	1		-4	56	1	2	
2	2	0	3/8		1/4	3/2		-3	63	1	1	
2	2	1/16	1/16		1/16	1		-3	51	1	2	
2	2	1/8	1/16		1/16	1		-4	56	1	2	
2	2	3/16	1/16		1/16	1		-3	51	1	2	
2	2	1/4	1/4		1/4	1		1	43	2	1	
2	2	1/4	1/16		1/16	1		-2	58	1	2	
2	2	5/16	1/16		1/16	1		-3	51	1	2	
2	2	3/8	1/16		1/16	1		-2	58	1	2	
2	2	3/8	1/8		1/8	1		-5	61	1	1	
2	2	7/16	1/16		1/16	1		-3	51	1	2	
3	3	0	1/8		1/8	1		-4	44	2	1	
3	3	0	1/16		1/16	1		-4	56	1	2	
3	3	0	1/8		1/8	1		0	60	1	1	
3	3	1/16	1/16		1/16	1		-3	51	1	2	
3	3	1/8	1/8		1/8	1		1	43	2	1	
3	3	1/8	1/16		1/16	1		-2	58	1	2	
3	3	1/8	1/8		1/8	1		-3	63	1	1	
3	3	3/16	1/16		1/16	1		-3	51	1	2	
3	3	1/4	1/8		1/8	1		-1	41	2	1	
3	3	1/4	1/16		1/16	1		0	60	1	2	
3	3	1/4	1/8		1/8	1		-4	68	1	1	
3	3	5/16	1/16		1/16	1		-4	56	1	2	
3	3	3/8	1/8		1/8	1		-1	53	2	1	
3	3	3/8	1/16		1/16	1		2	62	1	2	
3	3	3/8	1/8		1/8	1		-2	70	1	1	
3	3	7/16	1/16		1/16	1		-4	56	1	2	
4	4	0	1/4		1/4	1		-3	51	2	1	
4	4	0	1/16		1/16	1		1	55	1	2	
4	4	0	3/8		1/4	3/2		-3	63	1	1	
4	4	1/16	1/16		1/16	1		-2	58	1	2	
4	4	1/8	1/16		1/16	1		1	55	1	2	
4	4	3/16	1/16		1/16	1		-2	58	1	2	
4	4	1/4	1/4		1/4	1		-3	39	2	1	
4	4	1/4	1/16		1/16	1		1	55	1	2	
4	4	5/16	1/16		1/16	1		-2	58	1	2	
4	4	3/8	1/16		1/16	1		1	55	1	2	
4	4	3/8	1/8		1/8	1		4	64	1	1	
4	4	7/16	1/16		1/16	1		-2	58	1	2	
5	5	0	1/4		1/4	1		-5	37	2	1	
5	5	0	1/16		1/16	1		1	55	1	2	
5	5	0	1/4		1/4	1		-1	65	1	1	
5	5	1/16	1/16		1/16	1		-2	58	1	2	
5	5	1/8	1/16		1/16	1		1	55	1	2	
5	5	3/16	1/16		1/16	1		-2	58	1	2	
5	5	1/4	1/4		1/4	1		-5	49	2	1	
