mc	mn	onset	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	staff	voice	volta
1	1	7/8	1/8		1/8	1		2	50	2	1	
1	1	7/8	1/8		1/8	1		3	57	1	2	
1	1	7/8	1/8		1/8	1	1	2	62	1	2	
1	1	7/8	1/8		1/8	1		6	66	1	1	
2	2	0	1/8		1/8	1		5	47	2	1	
2	2	0	1/4		1/4	1		5	59	1	2	
2	2	0	1/4		1/4	1	-1	2	62	1	2	
2	2	0	1/8		1/8	1		1	67	1	1	
2	2	1/8	1/8		1/8	1		1	43	2	1	
2	2	1/8	1/8		1/8	1		5	71	1	1	
2	2	7/8	1/8		1/8	1		2	50	2	1	
2	2	7/8	1/8		1/8	1		3	57	1	2	
2	2	7/8	1/8		1/8	1	1	2	62	1	2	
2	2	7/8	1/8		1/8	1		6	66	1	1	
3	3	0	1/8		1/8	1		5	47	2	1	
3	3	0	1/4		1/4	1		5	59	1	2	
3	3	0	1/4		1/4	1	-1	2	62	1	2	
3	3	0	1/8		1/8	1		1	67	1	1	
3	3	1/8	1/8		1/8	1		1	43	2	1	
3	3	1/8	1/8		1/8	1		5	71	1	1	
3	3	7/8	1/8		1/8	1		1	67	2	1	
3	3	7/8	1/8		1/8	1		5	71	1	1	
4	4	0	1/4		1/4	1		6	66	2	1	
4	4	0	1/4		1/4	1		6	66	2	2	
4	4	0	1/8		1/8	1		3	69	1	1	
4	4	1/8	1/8		1/8	1		2	74	1	1	
4	4	1/4	1/4		1/4	1		4	64	2	2	
4	4	1/4	1/4		1/4	1		1	67	2	1	
4	4	1/4	1/8		1/8	1		7	73	1	1	
4	4	3/8	1/8		1/8	1		1	79	1	1	
4	4	1/2	1/4		1/4	1		2	62	2	2	
4	4	1/2	1/4		1/4	1		6	66	2	1	
4	4	1/2	1/8		1/8	1		6	78	1	1	
4	4	5/8	1/8		1/8	1		5	83	1	1	
4	4	3/4	1/4		1/4	1		7	61	2	2	
4	4	3/4	1/4		1/4	1	1	4	64	2	2	
4	4	3/4	1/4		1/4	1	1	3	69	2	1	
4	4	3/4	1/8		1/8	1		3	81	1	1	
4	4	7/8	1/8		1/8	1	1	4	88	1	1	
5	5	0	1/2		1/2	1		5	59	2	2	
5	5	0	1/2		1/2	1	1	2	62	2	2	
5	5	0	1/2		1/2	1	-1	4	64	2	2	
5	5	0	1/4		1/4	1	-1	3	69	2	1	
5	5	0	1/16		1/16	1	-1	4	88	1	1	
5	5	1/16	1/16		1/16	1		2	86	1	1	
5	5	1/8	1/16		1/16	1		7	85	1	1	
5	5	3/16	1/16		1/16	1		5	83	1	1	
5	5	1/4	1/4		1/4	1	1	8	68	2	1	
5	5	1/4	1/16		1/16	1		3	81	1	1	
5	5	5/16	1/16		1/16	1		8	80	1	1	
5	5	3/8	1/16		1/16	1		2	86	1	1	
5	5	7/16	1/16		1/16	1		8	80	1	1	
