mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	-3	9/8	9/8	0						firstMeasure	2
2	2	-3	9/8	9/8	0							3
3	3	-3	9/8	9/8	0							4
4	4	-3	9/8	9/8	0							5
5	5	-3	9/8	9/8	0							6
6	6	-3	9/8	9/8	0							7
7	7	-3	9/8	9/8	0							8
8	8	-3	9/8	9/8	0							9
9	9	-3	9/8	9/8	0							10
10	10	-3	9/8	9/8	0							11
11	11	-3	9/8	9/8	0							12
12	12	-3	9/8	3/4	0							13
13	12	-3	9/8	3/8	3/4			1				14
14	13	-3	9/8	9/8	0							15
15	14	-3	9/8	9/8	0							16
16	15	-3	9/8	9/8	0							17
17	16	-3	9/8	9/8	0							18
18	17	-3	9/8	9/8	0							19
19	18	-3	9/8	9/8	0							20
20	19	-3	9/8	9/8	0							21
21	20	-3	9/8	9/8	0							22
22	21	-3	9/8	9/8	0							23
23	22	-3	9/8	9/8	0							24
24	23	-3	9/8	9/8	0							25
25	24	-3	9/8	9/8	0							26
26	25	-3	9/8	9/8	0							27
27	26	-3	9/8	9/8	0							28
28	27	-3	9/8	9/8	0							29
29	28	-3	9/8	9/8	0							30
30	29	-3	9/8	9/8	0							31
31	30	-3	9/8	9/8	0							32
32	31	-3	9/8	9/8	0							33
33	32	-3	9/8	9/8	0							34
34	33	-3	9/8	9/8	0							35
35	34	-3	9/8	9/8	0							36
36	35	-3	9/8	9/8	0							37
37	36	-3	9/8	9/8	0							38
38	37	-3	9/8	9/8	0							39
39	38	-3	9/8	9/8	0							40
40	39	-3	9/8	9/8	0							41
41	40	-3	9/8	9/8	0							42
42	41	-3	9/8	9/8	0							43
43	42	-3	9/8	9/8	0							44
44	43	-3	9/8	9/8	0							45
45	44	-3	9/8	9/8	0							46
46	45	-3	9/8	9/8	0							47
47	46	-3	9/8	9/8	0							48
48	47	-3	9/8	9/8	0							49
49	48	-3	9/8	9/8	0							50
50	49	-3	9/8	9/8	0							51
51	50	-3	9/8	9/8	0							52
52	51	-3	9/8	9/8	0							53
53	52	-3	9/8	9/8	0							54
54	53	-3	9/8	9/8	0							55
55	54	-3	9/8	9/8	0							56
56	55	-3	9/8	9/8	0							57
57	56	-3	9/8	9/8	0							58
58	57	-3	9/8	9/8	0							59
59	58	-3	9/8	9/8	0							60
60	59	-3	9/8	9/8	0							61
61	60	-3	9/8	9/8	0							62
62	61	-3	9/8	9/8	0							63
63	62	-3	9/8	9/8	0							64
64	63	-3	9/8	9/8	0							65
65	64	-3	9/8	9/8	0							66
66	65	-3	9/8	9/8	0							67
67	66	-3	9/8	9/8	0							68
68	67	-3	9/8	9/8	0							69
69	68	-3	9/8	9/8	0							70
70	69	-3	9/8	9/8	0							71
71	70	-3	9/8	9/8	0							72
72	71	-3	9/8	9/8	0							73
73	72	-3	9/8	9/8	0							74
74	73	-3	9/8	9/8	0							75
75	74	-3	9/8	9/8	0							76
76	75	-3	9/8	9/8	0							77
77	76	-3	9/8	9/8	0							78
78	77	-3	9/8	9/8	0						lastMeasure	-1
